 sigx=1.2 ,sigy=0.7, theta=0 h_m=0.65, v_m=0.0, h_psnr=25.394057 
 sigx=1.2 ,sigy=0.8, theta=0 h_m=0.7, v_m=0.0, h_psnr=25.447186 
 sigx=1.2 ,sigy=0.9, theta=0 h_m=0.7, v_m=0.05, h_psnr=25.481085 
 sigx=1.2 ,sigy=1.0, theta=0 h_m=0.75, v_m=0.2, h_psnr=25.499604 
 sigx=1.2 ,sigy=1.1, theta=0 h_m=0.75, v_m=0.3, h_psnr=25.505410 
 sigx=1.2 ,sigy=1.2, theta=0 h_m=0.8, v_m=0.45, h_psnr=25.507007 
 sigx=1.2 ,sigy=1.3, theta=0 h_m=0.8, v_m=0.6, h_psnr=25.496982 
 sigx=1.2 ,sigy=1.4, theta=0 h_m=0.8, v_m=0.7, h_psnr=25.488820 
 sigx=1.2 ,sigy=1.5, theta=0 h_m=0.8, v_m=0.8, h_psnr=25.471534 
 sigx=1.2 ,sigy=1.6, theta=0 h_m=0.8, v_m=0.9, h_psnr=25.455090 
 sigx=1.2 ,sigy=1.7, theta=0 h_m=0.85, v_m=0.9, h_psnr=25.440686 
 sigx=1.2 ,sigy=1.8, theta=0 h_m=0.85, v_m=0.95, h_psnr=25.425053 
 sigx=1.2 ,sigy=1.9, theta=0 h_m=0.85, v_m=1.0, h_psnr=25.403539 
 sigx=1.2 ,sigy=2.0, theta=0 h_m=0.85, v_m=1.0, h_psnr=25.362193 
 sigx=1.3 ,sigy=0.2, theta=0 h_m=0.55, v_m=0.0, h_psnr=25.007919 
 sigx=1.3 ,sigy=0.3, theta=0 h_m=0.55, v_m=0.0, h_psnr=25.015620 
 sigx=1.3 ,sigy=0.4, theta=0 h_m=0.6, v_m=0.0, h_psnr=25.092736 
 sigx=1.3 ,sigy=0.5, theta=0 h_m=0.65, v_m=0.0, h_psnr=25.219909 
 sigx=1.3 ,sigy=0.6, theta=0 h_m=0.7, v_m=0.0, h_psnr=25.330177 
 sigx=1.3 ,sigy=0.7, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.406415 
 sigx=1.3 ,sigy=0.8, theta=0 h_m=0.75, v_m=0.05, h_psnr=25.462920 
 sigx=1.3 ,sigy=0.9, theta=0 h_m=0.75, v_m=0.1, h_psnr=25.494936 
 sigx=1.3 ,sigy=1.0, theta=0 h_m=0.8, v_m=0.25, h_psnr=25.520434 
 sigx=1.3 ,sigy=1.1, theta=0 h_m=0.8, v_m=0.35, h_psnr=25.531502 
 sigx=1.3 ,sigy=1.2, theta=0 h_m=0.85, v_m=0.45, h_psnr=25.534591 
 sigx=1.3 ,sigy=1.3, theta=0 h_m=0.85, v_m=0.55, h_psnr=25.532842 
 sigx=1.3 ,sigy=1.4, theta=0 h_m=0.85, v_m=0.7, h_psnr=25.527060 
 sigx=1.3 ,sigy=1.5, theta=0 h_m=0.85, v_m=0.8, h_psnr=25.518187 
 sigx=1.3 ,sigy=1.6, theta=0 h_m=0.85, v_m=0.85, h_psnr=25.509864 
 sigx=1.3 ,sigy=1.7, theta=0 h_m=0.85, v_m=0.9, h_psnr=25.493937 
 sigx=1.3 ,sigy=1.8, theta=0 h_m=0.85, v_m=1.0, h_psnr=25.480589 
 sigx=1.3 ,sigy=1.9, theta=0 h_m=0.85, v_m=1.0, h_psnr=25.459630 
 sigx=1.3 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=25.404666 
 sigx=1.4 ,sigy=0.2, theta=0 h_m=0.7, v_m=0.0, h_psnr=25.006799 
 sigx=1.4 ,sigy=0.3, theta=0 h_m=0.7, v_m=0.0, h_psnr=25.014706 
 sigx=1.4 ,sigy=0.4, theta=0 h_m=0.7, v_m=0.0, h_psnr=25.094501 
 sigx=1.4 ,sigy=0.5, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.226564 
 sigx=1.4 ,sigy=0.6, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.335640 
 sigx=1.4 ,sigy=0.7, theta=0 h_m=0.8, v_m=0.0, h_psnr=25.413141 
 sigx=1.4 ,sigy=0.8, theta=0 h_m=0.8, v_m=0.05, h_psnr=25.470700 
 sigx=1.4 ,sigy=0.9, theta=0 h_m=0.85, v_m=0.15, h_psnr=25.507853 
 sigx=1.4 ,sigy=1.0, theta=0 h_m=0.85, v_m=0.25, h_psnr=25.536999 
 sigx=1.4 ,sigy=1.1, theta=0 h_m=0.85, v_m=0.4, h_psnr=25.553553 
 sigx=1.4 ,sigy=1.2, theta=0 h_m=0.85, v_m=0.5, h_psnr=25.559530 
 sigx=1.4 ,sigy=1.3, theta=0 h_m=0.85, v_m=0.6, h_psnr=25.557752 
 sigx=1.4 ,sigy=1.4, theta=0 h_m=0.9, v_m=0.65, h_psnr=25.554732 
 sigx=1.4 ,sigy=1.5, theta=0 h_m=0.9, v_m=0.7, h_psnr=25.548703 
 sigx=1.4 ,sigy=1.6, theta=0 h_m=0.9, v_m=0.8, h_psnr=25.544861 
 sigx=1.4 ,sigy=1.7, theta=0 h_m=0.9, v_m=0.85, h_psnr=25.535400 
 sigx=1.4 ,sigy=1.8, theta=0 h_m=0.9, v_m=0.9, h_psnr=25.521187 
 sigx=1.4 ,sigy=1.9, theta=0 h_m=0.9, v_m=0.95, h_psnr=25.507420 
 sigx=1.4 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=25.485996 
 sigx=1.5 ,sigy=0.2, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.007303 
 sigx=1.5 ,sigy=0.3, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.016248 
 sigx=1.5 ,sigy=0.4, theta=0 h_m=0.75, v_m=0.0, h_psnr=25.093168 
 sigx=1.5 ,sigy=0.5, theta=0 h_m=0.8, v_m=0.0, h_psnr=25.227946 
 sigx=1.5 ,sigy=0.6, theta=0 h_m=0.8, v_m=0.0, h_psnr=25.337630 
 sigx=1.5 ,sigy=0.7, theta=0 h_m=0.85, v_m=0.05, h_psnr=25.417974 
 sigx=1.5 ,sigy=0.8, theta=0 h_m=0.85, v_m=0.1, h_psnr=25.476453 
 sigx=1.5 ,sigy=0.9, theta=0 h_m=0.85, v_m=0.15, h_psnr=25.518610 
 sigx=1.5 ,sigy=1.0, theta=0 h_m=0.9, v_m=0.3, h_psnr=25.546200 
 sigx=1.5 ,sigy=1.1, theta=0 h_m=0.9, v_m=0.4, h_psnr=25.571017 
 sigx=1.5 ,sigy=1.2, theta=0 h_m=0.9, v_m=0.5, h_psnr=25.583414 
 sigx=1.5 ,sigy=1.3, theta=0 h_m=0.9, v_m=0.6, h_psnr=25.586756 
 sigx=1.5 ,sigy=1.4, theta=0 h_m=0.9, v_m=0.7, h_psnr=25.588178 
 sigx=1.5 ,sigy=1.5, theta=0 h_m=0.9, v_m=0.75, h_psnr=25.585237 
 sigx=1.5 ,sigy=1.6, theta=0 h_m=0.9, v_m=0.85, h_psnr=25.579938 
 sigx=1.5 ,sigy=1.7, theta=0 h_m=0.9, v_m=0.9, h_psnr=25.576404 
 sigx=1.5 ,sigy=1.8, theta=0 h_m=0.9, v_m=0.95, h_psnr=25.566050 
 sigx=1.5 ,sigy=1.9, theta=0 h_m=0.9, v_m=1.0, h_psnr=25.556293 
 sigx=1.5 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=25.527545 
 sigx=1.6 ,sigy=0.2, theta=0 h_m=0.8, v_m=0.0, h_psnr=25.003297 
 sigx=1.6 ,sigy=0.3, theta=0 h_m=0.8, v_m=0.0, h_psnr=25.011464 
